,pred
0,60212.77
1,4579.6
2,12273.84
3,6300.85
4,4733.69
5,2161.56
6,55525.1
7,6132.16
8,53712.71
9,2757.26
10,6158.7
11,63296.97
12,7866.22
13,51744.89
14,4691.39
15,5281.47
16,5788.36
17,2728.15
18,7467.26
19,50424.26
20,71037.34
21,2618.1
22,61969.07
23,5101.24
24,6942.33
25,10353.96
26,65250.82
27,7205.26
28,10859.94
29,46321.45
30,5589.96
31,11993.85
32,30335.08
33,4228.77
34,4424.2
35,4683.29
36,47384.15
37,2322.09
38,10022.12
39,44063.21
40,5121.01
41,6548.47
42,5415.76
43,4974.15
44,4686.91
45,10484.76
46,4003.21
47,4208.28
48,58874.69
49,3956.26
50,13059.02
51,70523.58
52,55390.74
53,7391.76
54,5346.13
55,5402.48
56,6596.5
57,51331.81
58,7848.74
59,50475.03
60,2696.37
61,5796.3
62,29170.5
63,3135.85
64,51484.91
65,4982.48
66,64296.24
67,12179.48
68,50700.75
69,5097.02
70,9825.3
71,11215.01
72,2130.07
73,57349.16
74,4888.52
75,3702.23
76,2255.54
77,8009.22
78,50505.29
79,6811.42
80,3014.45
81,3718.59
82,9233.52
83,5745.5
84,12127.9
85,7493.11
86,7893.72
87,5759.16
88,5913.5
89,11132.82
90,49179.39
91,5418.31
92,2973.72
93,6609.45
94,69276.76
95,50815.08
96,4416.77
97,10347.13
98,48611.24
99,44909.01
100,3706.93
101,5188.88
102,3272.11
103,6786.74
104,3930.32
105,16478.66
106,57401.65
107,9689.03
108,4187.41
109,10884.98
110,6101.28
111,15487.01
112,31235.68
113,7708.52
114,6399.79
115,12767.78
116,6238.46
117,74806.63
118,12389.02
119,54235.5
120,16539.28
121,51706.02
122,48914.03
123,4894.19
124,4561.37
125,7473.87
126,9897.23
127,54240.84
128,4313.96
129,5431.06
130,59123.88
131,9476.31
132,6857.56
133,6224.88
134,3289.93
135,12142.72
136,6778.53
137,6841.49
138,5463.67
139,6139.33
140,18807.74
141,5936.39
142,7092.86
143,8750.27
144,6482.03
145,51908.43
146,5774.89
147,10966.37
148,10163.44
149,37361.88
150,6385.9
151,6620.86
152,2443.79
153,8972.17
154,49600.07
155,4855.09
156,3273.54
157,3389.92
158,7327.48
159,7416.58
160,59277.19
161,2851.15
162,50268.52
163,13568.02
164,3300.64
165,4213.24
166,6165.01
167,2174.97
168,10083.85
169,2341.89
170,2797.81
171,9889.74
172,6152.65
173,13256.14
174,4060.25
175,41722.82
176,1678.11
177,9163.43
178,53661.51
179,9727.85
180,3792.08
181,4496.46
182,6668.48
